pixel,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,554.9999976282052,614.9999973717948
6,573.187298804989,610.9935688862566
7,0.0,0.0
8,582.7477791225933,606.7825051809928
9,0.0,0.0
10,589.8527243065399,570.4332449849998
11,584.9999987392241,598.9655159505054
12,579.6259078121952,604.1207839414864
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,533.2530708105294,592.56356362401
18,0.0,0.0
19,509.50414025931246,603.4906826050822
20,0.0,0.0
21,0.0,0.0
22,460.10764339208157,633.6653095279669
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,512.9999976891892,605.9999972702703
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,417.33187712178767,743.3304210431871
38,407.68974592517594,749.2598305269502
39,0.0,0.0
40,0.0,0.0
41,416.02764738337333,604.181635287503
42,420.5854969776408,612.1169589211422
43,421.50099164533634,624.4970231899831
44,421.3389358619904,623.9510277359188
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,398.34289756335306,604.678621801035
50,368.39425095770196,609.407172835072
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,341.9999992962963,594.491768324091
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,271.52559722328914,618.7034128637024
62,279.145268781398,610.800753469729
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,360.4135968794201,604.1158147922743
68,0.0,0.0
69,404.0767771235145,621.2606633108181
70,377.77831414496126,645.1101840890649
71,0.0,0.0
72,0.0,0.0
73,335.854927164396,598.0218399875478
74,0.0,0.0
75,306.5663646485523,584.0745752783649
76,280.56521226844995,613.5192905858524
77,288.97433418727866,623.410596008771
78,320.1304607333186,634.7671569983745
79,303.67094642575876,659.8215595503709
80,334.4066112938788,662.7801647415039
81,338.1467013521976,662.9551865600092
82,343.7690744771145,660.8235367956298
83,358.4215940804498,642.8778970443326
84,343.50121434300416,665.2350580430182
85,368.43801583897454,666.629054795398
86,379.9420047419368,654.9024464035404
87,370.481897512334,628.1582395043201
88,394.9518390303494,647.2551648955324
89,389.3585295623885,619.8343451451175
90,405.89010837358467,644.2520324766767
91,0.0,0.0
92,437.79927290342863,637.7575735520879
93,433.54469550137577,624.2639997828647
94,428.51928440583043,619.6561716909011
95,0.0,0.0
96,443.5653818044339,634.1990273204071
97,447.3417907429465,637.8043757652874
98,430.53643802553785,604.7253468462062
99,459.63947779396887,610.3406342552706
100,485.7060848450178,615.1569701647585
101,482.98945738902745,631.1633824236262
102,497.75564430639815,639.8631446366595
103,528.7924689973756,639.8078007702804
104,558.5110119856586,639.9999985903083
105,547.7980410427111,629.2502473894478
106,526.4548996574138,619.7831677247488
107,0.0,0.0
108,506.87125183043685,628.7764472722031
109,480.317214516031,629.1407977553855
110,484.9681327457432,615.1290393592618
111,475.2970019922682,644.1218664766157
112,445.6333815993925,647.2091832017426
113,0.0,0.0
114,486.9823590888454,610.8828904121397
115,0.0,0.0
116,0.0,0.0
117,518.7330864065892,574.3821350029692
118,526.2854101837692,573.0259758794637
119,0.0,0.0
120,564.819532362412,573.9196378825413
121,561.9598653614959,552.6045670256784
122,572.0697694451939,570.4680737816419
123,0.0,0.0
124,575.8951803759667,555.1012044848787
125,0.0,0.0
126,568.9977775248899,569.0004441915554
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,532.4081121420462,556.2028141091035
131,510.16821399778473,561.8417985505477
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,451.2637888485841,558.0857978795402
141,0.0,0.0
142,485.9999989811321,565.475889799841
143,484.607534457652,540.2467809870656
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,452.5027431738664,560.9993137441705
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,388.9030346451136,555.398593428794
157,415.67886122536737,545.3401076621408
158,0.0,0.0
159,423.2474263149826,570.697426260773
160,0.0,0.0
161,426.4080067467128,581.7014648801257
162,0.0,0.0
163,403.7075748996867,593.0585889074262
164,414.99999830612245,572.9999976612245
165,0.0,0.0
166,365.3421782606953,567.6885466931724
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,321.85294070315746,526.6426462843491
177,300.661233096938,531.3789273490718
178,284.0003997265093,551.8224707909546
179,291.6662758962806,552.2900578392344
180,303.34315471903096,579.584147779155
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,411.5048157474491,592.2926343931183
186,415.66769542573525,596.6704388892695
187,424.88414151868386,598.7351244692834
188,0.0,0.0
189,401.86779591068165,595.6314430890206
190,388.1264531322188,563.8686716745017
191,380.0298171969759,582.0448789654832
192,370.44981242380265,555.6892958951731
193,352.0439508693828,590.9653672012788
194,359.6517173623459,608.8926171080412
195,380.6239411990701,628.8719256746161
196,403.59914326353464,637.6758324832336
197,429.12778769093865,633.7653426148653
198,0.0,0.0
199,441.7846189195842,585.5314481556113
200,445.2616093507744,582.273344460832
201,472.00406869582497,566.5025426586952
202,464.3740255719705,578.0718609713663
203,495.9419178210722,587.920662237291
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,451.31062568013334,599.0126537356539
208,446.6590578507003,594.3166895944128
209,0.0,0.0
210,0.0,0.0
211,463.18485319571516,540.6580564855635
212,457.88549748303683,539.2748754465844
213,480.7321837238574,518.4551722151513
214,507.6689937043729,518.3226249744098
215,508.86058377364407,509.00348537318706
216,525.9165582150717,521.0066316675338
217,0.0,0.0
218,538.8007690373021,543.8432183783696
219,544.7650874593261,537.5208715219095
220,543.1262406386346,521.1066996979831
221,573.7235754052062,515.5529577516797
222,0.0,0.0
223,532.9999976415929,518.9999977035399
224,546.9999975580357,532.9999976205357
225,0.0,0.0
226,486.5037110429441,538.9925763107184
227,463.6776269122679,542.7267993102947
228,477.7962216729115,553.1036975268876
229,0.0,0.0
230,487.1178256615319,556.8537169373535
231,496.9785445615936,547.1297823635214
232,508.00510175283154,518.0056686405864
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,495.99999783406116,535.9999976593887
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,457.3218790621866,519.8618509678388
246,0.0,0.0
247,465.4945285218938,716.9999984310722
248,451.9999979821429,545.9999975625
249,424.42659672991783,557.6912024678135
250,412.4896669309731,546.2723879029069
251,0.0,0.0
252,374.999998340708,501.9999977787611
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,332.2123281301807,522.3101551643184
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,389.8193871102792,560.3388200455698
266,393.9999983090129,545.9999976566523
267,365.99999835135134,551.9999975135136
268,354.2702701684099,551.5060377942766
269,328.3734321176313,528.445039848524
270,322.1045602607288,544.449624865688
271,359.14044208593754,556.4061117611956
272,375.36843967194227,550.7866429608999
273,396.7876603473962,543.1962917383745
274,412.59837283220975,530.6100642721854
275,406.658842720768,515.3746360052083
276,410.1028925894794,538.5949676041081
277,0.0,0.0
278,0.0,0.0
279,438.3697466266019,552.8567932422486
280,0.0,0.0
281,444.8911241945427,505.1057691560494
282,0.0,0.0
283,0.0,0.0
284,444.9859255783136,496.13623231755025
285,464.6709204810069,468.3505011538968
286,451.9089626780183,494.06526282672445
287,482.90220573371096,492.768699182223
288,484.3676512943157,495.2008880927116
289,508.8885517739617,502.22495704051374
290,517.0731706822503,493.1529411293015
291,537.0962668589721,469.4969577977984
292,521.5139313503469,489.0247672971881
293,499.42092902406824,490.8815109125102
294,476.11379408129983,492.02303875812055
295,478.96411892798164,500.9415527839407
296,450.8898364248069,506.8862827512707
297,483.5156793021151,499.3510451511757
298,473.83822346307835,492.7352626710142
299,0.0,0.0
300,508.44472188992984,466.15833839283
