pixel,x,y
0,0,0
1,493.2054836,636.0471348
2,505.438279,634.2451413
3,513.7592529,618.2106112
4,516.8057253,629.8550802
5,519.801329,639.3038149
6,538.801943,623.3001246
7,0,0
8,557.4498067,630.5992805
9,578.8350924,630.1316389
10,590.8279796,590.0391087
11,583.6990371,623.5357299
12,600.3705322,627.6693469
13,575.8203098,601.2442078
14,607.8623902,600.240108
15,0,0
16,0,0
17,0,0
18,0,0
19,530.8566398,611.9411468
20,517.5050225,621.3501434
21,0,0
22,502.4577702,636.8702305
23,518.642304,604.3796839
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,564.6308785,592.6404701
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,507.9999989,598.5128743
42,498.0046672,611.0081677
43,470.2496491,651.1383821
44,0,0
45,0,0
46,0,0
47,0,0
48,477.3630787,606.3833178
49,490.568707,599.9963564
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,438.9007298,592.6237224
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,419.9999981,590.9999973
68,440.5310167,608.6424905
69,457.4839376,583.9523313
70,413.6956233,628.4079906
71,398.9036186,625.3697597
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,307.5336723,592.1627062
78,335.3893803,607.8133543
79,306.3342206,626.3315571
80,328.1996181,631.3311057
81,311.0586189,631.5057974
82,296.3049762,632.1350709
83,312.0579275,615.2282146
84,296.6713101,632.4330988
85,308.7473015,637.8207837
86,326.0205172,630.6922952
87,0,0
88,363.9695139,630.7715758
89,0,0
90,395.3484119,630.720725
91,0,0
92,0,0
93,0,0
94,0,0
95,409.283283,613.3500645
96,378.3716349,624.3675639
97,0,0
98,0,0
99,376.3333328,603.6666659
100,409.1206008,610.2585787
101,392.7457151,626.2351784
102,403.4702387,633.5198596
103,419.8861327,644.3998804
104,423.2251379,647.0421225
105,428.2192975,635.9548452
106,426.0345797,622.5314923
107,457.3320056,619.9946036
108,0,0
109,0,0
110,0,0
111,455.999999,644.530525
112,0,0
113,463.5939085,632.1773264
114,477.5253695,613.4968281
115,0,0
116,474.0361713,582.5830086
117,0,0
118,484.6418783,578.7004233
119,504.5252394,597.0490551
120,496.5294994,583.9485279
121,510.4542785,561.2123982
122,543.208849,582.7444544
123,546.048082,580.3618314
124,576.9958352,571.0508467
125,581.4739601,547.454177
126,585.0363015,583.9133944
127,615.5584362,576.742151
128,0,0
129,576.3886235,587.4206159
130,564.1728866,564.3034194
131,0,0
132,521.7267518,613.3948489
133,528.6550473,591.6763239
134,493.48085,609.9999987
135,478.9999979,606.9999974
136,0,0
137,493.999999,593.4904446
138,0,0
139,525.3978255,583.0868599
140,0,0
141,0,0
142,0,0
143,579.6385242,546.2612041
144,0,0
145,0,0
146,609.0421362,582.4294743
147,0,0
148,0,0
149,0,0
150,0,0
151,555.502251,588.9999987
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,514.5879073,543.1239279
158,495.3990342,563.2043439
159,0,0
160,0,0
161,470.5154175,580.9999987
162,492.26795,591.547173
163,0,0
164,474.4999997,567.9986591
165,440.1782177,556.1202785
166,449.9999981,553.9999977
167,0,0
168,443.999998,537.9999976
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,393.3443067,499.6886139
177,0,0
178,0,0
179,0,0
180,0,0
181,363.50337,551.5033695
182,377.318941,563.3314755
