pixel,x,y
0,460.99999795111114,621.9999972355556
1,417.22079001956973,636.5979375974244
2,417.03498251231355,635.5092093070134
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,341.7191147254338,617.9870924290184
7,0.0,0.0
8,328.97731562088273,623.2528879178212
9,337.87214797042157,633.6808799811731
10,338.8185602447279,595.6299474448808
11,338.63925368258083,627.1439962149706
12,359.2557034083933,644.0572623329256
13,368.99999841630904,611.9999973733906
14,381.67921812122063,619.3350807343494
15,403.5516155482588,618.9700502054513
16,432.0985417109922,623.8073353265789
17,414.0508293632013,633.2259087069447
18,429.87232753570527,627.3052252806975
19,0.0,0.0
20,444.73927587124746,633.7148249284733
21,445.9892542881602,627.0942981080933
22,464.25742860011263,648.2056654268667
23,503.5011026412779,617.5011023896222
24,0.0,0.0
25,479.4914509373865,645.8580117154925
26,478.9557424434338,636.2296999955828
27,483.9314266828774,640.2379590094093
28,486.2578985741943,649.9182585935637
29,508.1457986424633,635.1164205160609
30,521.1136621019776,670.8632652680916
31,526.0182113940364,638.2276429945148
32,533.4664811991902,631.8554009906418
33,0.0,0.0
34,520.8686393972645,647.1131876183213
35,567.2899942779741,640.080884122768
36,562.9555541548561,647.5776725488672
37,588.9712574435384,644.4822120010932
38,0.0,0.0
39,0.0,0.0
40,537.703101269047,629.5475299899437
41,564.9999974318182,642.9999970772727
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,479.2539016865204,641.9781470947157
46,0.0,0.0
47,0.0,0.0
48,541.4188505550808,627.911036155828
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,599.5791586455025,593.6580205762382
54,619.948938478218,610.2659217195234
55,0.0,0.0
56,591.8961095689262,613.3368418245599
57,565.3391759961031,597.2258251249706
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,513.3156588351449,616.9063564935028
69,464.99999897350995,602.5121399503043
70,0.0,0.0
71,498.2666036044456,620.8122299377953
72,0.0,0.0
73,495.87977345785964,573.3102307528005
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,475.6329357918735,587.9349016132879
79,0.0,0.0
80,449.9999980349345,609.9999973362445
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,437.4979192527753,614.4965321674781
91,450.18705749722415,611.9233959838538
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,351.6764290771598,591.663876441194
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,333.5634183418765,595.3984494189671
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,445.9999979727273,677.9999969181819
113,0.0,0.0
114,413.50063353886753,624.4186731624764
115,0.0,0.0
116,0.0,0.0
117,383.6192990959407,579.6899731237685
118,0.0,0.0
119,0.0,0.0
120,316.97272063925186,567.333886467448
121,0.0,0.0
122,334.6211570949379,577.6720750877805
123,0.0,0.0
124,348.5076054784834,574.2718841720181
125,382.65333647972824,560.9468773806556
126,368.36742410289116,593.370454320693
127,383.31123413898354,592.5476217627934
128,417.0214789451086,604.1994173795599
129,417.0030068917248,598.333833686716
130,0.0,0.0
131,422.9755176916311,580.6737285401724
132,0.0,0.0
133,438.62486243263356,603.4143746970524
134,438.4689141376457,611.9219570258404
135,456.0506342574682,611.5746276214479
136,0.0,0.0
137,461.1604905229592,602.4465362543953
138,0.0,0.0
139,472.9459105083656,600.2057815672637
140,498.16726973340525,579.322229848427
141,482.47627778934907,596.8283218013983
142,485.0561595689882,598.4375069388591
143,510.30241979852565,575.4046751688356
144,498.1970802595023,617.5879822329517
145,495.9622554463783,607.3540887495975
146,489.2714435371068,624.3209876291326
147,526.7541331449136,604.9545982807546
148,525.3869879887588,590.7790324801299
149,517.5723826471618,587.7606398589995
150,537.3048737720013,594.6422164642535
151,541.2333399945594,625.3205411141035
152,566.7176800745935,623.6822842090013
153,592.1201443568708,603.324497569995
154,592.4809136958835,603.6753478452991
155,600.4999993909736,568.4979710258641
156,0.0,0.0
157,548.1169740007667,565.4918412394761
158,0.0,0.0
159,527.4110995832659,587.9829392419356
160,0.0,0.0
161,0.0,0.0
162,501.1919525440965,607.0665087320552
163,0.0,0.0
164,510.4505049473837,579.8733332161871
165,0.0,0.0
166,543.9999975605381,570.9999974394619
167,0.0,0.0
168,556.9999988248945,547.493669731026
169,581.6813540901293,561.1229125412232
170,597.6048054430366,558.7035708802995
171,0.0,0.0
172,0.0,0.0
173,553.4870313015223,546.6693079634947
174,556.873336584953,547.1527405283913
175,0.0,0.0
176,528.4473883857324,517.7316049337148
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,521.1107938558674,555.6524010672124
181,0.0,0.0
182,0.0,0.0
183,491.4989630328272,568.0186589025441
184,493.0114906066752,574.5310558114082
185,476.6082629453825,586.673888325145
186,0.0,0.0
187,0.0,0.0
188,453.52110840364645,563.4998703539239
189,433.379006093425,567.90575091369
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
