pixel,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,554.9999976,614.9999974
6,573.1872988,610.9935689
7,0,0
8,582.7477791,606.7825052
9,0,0
10,589.8527243,570.433245
11,584.9999987,598.965516
12,579.6259078,604.1207839
13,0,0
14,0,0
15,0,0
16,0,0
17,533.2530708,592.5635636
18,0,0
19,509.5041403,603.4906826
20,0,0
21,0,0
22,460.1076434,633.6653095
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,512.9999977,605.9999973
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,416.0276474,604.1816353
42,420.585497,612.1169589
43,421.5009916,624.4970232
44,421.3389359,623.9510277
45,0,0
46,0,0
47,0,0
48,0,0
49,398.3428976,604.6786218
50,368.394251,609.4071728
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,341.9999993,594.4917683
58,0,0
59,0,0
60,0,0
61,271.5255972,618.7034129
62,279.1452688,610.8007535
63,0,0
64,0,0
65,0,0
66,0,0
67,360.4135969,604.1158148
68,0,0
69,404.0767771,621.2606633
70,377.7783141,645.1101841
71,0,0
72,0,0
73,335.8549272,598.02184
74,0,0
75,306.5663646,584.0745753
76,280.5652123,613.5192906
77,288.9743342,623.410596
78,320.1304607,634.767157
79,303.6709464,659.8215596
80,334.4066113,662.7801647
81,338.1467014,662.9551866
82,343.7690745,660.8235368
83,358.4215941,642.877897
84,343.5012143,665.235058
85,368.4380158,666.6290548
86,379.9420047,654.9024464
87,370.4818975,628.1582395
88,394.951839,647.2551649
89,389.3585296,619.8343451
90,405.8901084,644.2520325
91,0,0
92,437.7992729,637.7575736
93,433.5446955,624.2639998
94,428.5192844,619.6561717
95,0,0
96,443.5653818,634.1990273
97,447.3417907,637.8043758
98,430.536438,604.7253468
99,459.6394778,610.3406343
100,485.7060848,615.1569702
101,482.9894574,631.1633824
102,497.7556443,639.8631446
103,528.792469,639.8078008
104,558.511012,639.9999986
105,547.798041,629.2502474
106,526.4548997,619.7831677
107,0,0
108,506.8712518,628.7764473
109,480.3172145,629.1407978
110,484.9681327,615.1290394
111,475.297002,644.1218665
112,445.6333816,647.2091832
113,0,0
114,486.9823591,610.8828904
115,0,0
116,0,0
117,518.7330864,574.382135
118,526.2854102,573.0259759
119,0,0
120,564.8195324,573.9196379
121,561.9598654,552.604567
122,572.0697694,570.4680738
123,0,0
124,575.8951804,555.1012045
125,0,0
126,568.9977775,569.0004442
127,0,0
128,0,0
129,0,0
130,532.4081121,556.2028141
131,510.168214,561.8417986
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,451.2637888,558.0857979
141,0,0
142,485.999999,565.4758898
143,484.6075345,540.246781
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,452.5027432,560.9993137
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,388.9030346,555.3985934
157,415.6788612,545.3401077
158,0,0
159,423.2474263,570.6974263
160,0,0
161,426.4080067,581.7014649
162,0,0
163,403.7075749,593.0585889
164,414.9999983,572.9999977
165,0,0
166,365.3421783,567.6885467
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,321.8529407,526.6426463
177,300.6612331,531.3789273
178,284.0003997,551.8224708
179,291.6662759,552.2900578
180,303.3431547,579.5841478
181,0,0
182,0,0
183,0,0
184,0,0
185,411.5048157,592.2926344
186,415.6676954,596.6704389
187,424.8841415,598.7351245
188,0,0
189,401.8677959,595.6314431
190,388.1264531,563.8686717
191,380.0298172,582.044879
192,370.4498124,555.6892959
193,352.0439509,590.9653672
194,359.6517174,608.8926171
195,380.6239412,628.8719257
196,403.5991433,637.6758325
197,429.1277877,633.7653426
198,0,0
199,441.7846189,585.5314482
200,445.2616094,582.2733445
201,472.0040687,566.5025427
202,464.3740256,578.071861
203,495.9419178,587.9206622
204,0,0
205,0,0
206,0,0
207,451.3106257,599.0126537
208,446.6590579,594.3166896
209,0,0
210,0,0
211,463.1848532,540.6580565
212,457.8854975,539.2748754
213,480.7321837,518.4551722
214,507.6689937,518.322625
215,508.8605838,509.0034854
216,525.9165582,521.0066317
217,0,0
218,538.800769,543.8432184
219,544.7650875,537.5208715
220,543.1262406,521.1066997
221,573.7235754,515.5529578
222,0,0
223,532.9999976,518.9999977
224,546.9999976,532.9999976
225,0,0
226,486.503711,538.9925763
227,463.6776269,542.7267993
228,477.7962217,553.1036975
229,0,0
230,487.1178257,556.8537169
231,496.9785446,547.1297824
232,508.0051018,518.0056686
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,495.9999978,535.9999977
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,457.3218791,519.861851
246,0,0
247,0,0
248,451.999998,545.9999976
249,424.4265967,557.6912025
250,412.4896669,546.2723879
251,0,0
252,374.9999983,501.9999978
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,332.2123281,522.3101552
262,0,0
263,0,0
264,0,0
265,389.8193871,560.33882
266,393.9999983,545.9999977
267,365.9999984,551.9999975
268,354.2702702,551.5060378
269,328.3734321,528.4450398
270,322.1045603,544.4496249
271,359.1404421,556.4061118
272,375.3684397,550.786643
273,396.7876603,543.1962917
274,412.5983728,530.6100643
275,406.6588427,515.374636
276,410.1028926,538.5949676
277,0,0
278,0,0
279,438.3697466,552.8567932
280,0,0
281,444.8911242,505.1057692
282,0,0
283,0,0
284,444.9859256,496.1362323
285,464.6709205,468.3505012
286,451.9089627,494.0652628
287,482.9022057,492.7686992
288,484.3676513,495.2008881
289,508.8885518,502.224957
290,517.0731707,493.1529411
291,537.0962669,469.4969578
292,521.5139314,489.0247673
293,499.420929,490.8815109
294,476.1137941,492.0230388
295,478.9641189,500.9415528
296,450.8898364,506.8862828
297,483.5156793,499.3510452
298,473.8382235,492.7352627
299,0,0
300,508.4447219,466.1583384
301,0,0
302,0,0
303,498.4955353,500.5999996
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,469.1302274,498.6400119
312,451.8037898,502.4982233
313,0,0
314,0,0
315,409.4893613,478.511651
316,0,0
317,0,0
318,0,0
319,0,0
320,398.2529758,470.0099202
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,348.3135931,466.3432026
329,0,0
330,0,0
331,0,0
332,414.6057267,498.4071742
333,0,0
334,374.3974012,502.9560015
335,385.9999992,496.5100392
336,370.5025223,485.0040358
337,0,0
338,316.2884218,485.7025132
339,321.5114322,492.6812877
340,325.7615499,493.2331719
341,334.8912596,481.1658304
342,343.8876393,486.2765957
343,377.3924848,501.4711667
