pixel,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,326.42834136383715,611.0490176740064
8,0.0,0.0
9,305.39643437572454,613.1977923487285
10,293.3444520751219,573.5318007995969
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,308.9999986794872,593.9999974615384
15,309.39091986294414,602.221008866337
16,338.88943195337345,608.959753385779
17,343.9046477493876,612.1098176314208
18,0.0,0.0
19,376.70199408734925,609.0011392541304
20,0.0,0.0
21,427.5752687712284,622.1151612234285
22,428.3255402672418,647.8394352342656
23,431.494338194945,624.671988080894
24,421.88313989046617,624.313474711781
25,394.9464338930966,642.599415594651
26,0.0,0.0
27,0.0,0.0
28,355.99356875027485,643.4994634046094
29,369.60167375626764,632.8198895447988
30,365.6682313479545,667.5714806932889
31,395.5222423896108,641.7583118312805
32,399.13154941839025,633.6537093211455
33,411.7521928387625,630.8468030765792
34,416.9294724172979,648.8066226134165
35,437.83530174968297,650.8757881768154
36,443.96098989564086,659.6403522936544
37,473.6102732991511,660.1368402061654
38,485.6254264830417,643.2141636395864
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,510.1427413939924,644.9947357111769
47,515.2497788148385,642.5220897828734
48,505.95426567338194,641.4701479059587
49,0.0,0.0
50,532.5313650329302,645.7622558535782
51,0.0,0.0
52,565.0563867783438,618.1093037045956
53,545.6141785998211,612.9361277856567
54,579.5878377882665,637.8271467124678
55,575.0403586747012,648.5116954734564
56,581.7215115433544,636.3120638610011
57,562.317998923791,614.3578430600354
58,0.0,0.0
59,610.766986396906,619.8302348250195
60,622.593594002564,629.7586627659966
61,623.2287916736457,624.9135603109072
62,611.5044430855456,606.9999986511111
63,0.0,0.0
64,583.9999976065574,611.9999974918032
65,581.7670323315575,610.3408777754136
66,0.0,0.0
67,531.570968409321,605.2613325228483
68,512.0358725288118,626.3704150289459
69,487.0128254561071,622.1739476464232
70,0.0,0.0
71,0.0,0.0
72,542.667574192551,611.3242498483321
73,547.6708607458044,578.762251463986
74,562.561635260035,585.9927837727042
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,537.2300722204574,613.1046192875432
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,509.0913106439951,585.427308944787
88,0.0,0.0
89,0.0,0.0
90,481.124011619998,614.8769759807919
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,435.54636052362105,583.8240789656679
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,363.99999836771303,581.9999973901346
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,404.2507462239634,573.915865055399
116,402.4928857698243,567.5071132444033
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,322.9999986017316,560.9999975714286
123,0.0,0.0
124,307.118712250755,556.6123406694528
125,322.5046474938131,547.056675486054
126,311.1883330740097,574.0191661883173
127,295.6163252013506,574.8484393127294
128,321.20444708546466,592.1489329729835
129,343.04444755587383,590.8945956969878
130,346.9451205063991,562.1437097463651
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,417.60206535990153,604.0747262429679
135,439.58414928196817,609.8424111985065
136,456.3587868337051,604.6861653008154
137,425.6695272880264,599.3319018607555
138,489.9959558116719,611.0115536620383
139,0.0,0.0
140,436.7016999045725,579.418773068272
141,0.0,0.0
142,0.0,0.0
143,391.92543117314614,574.0111263246721
144,374.2435204959057,614.2070433996756
145,343.23368358085816,603.4741426156701
146,352.2712770041714,612.9413699027266
147,376.6503357519945,602.941123602503
148,404.7348255069272,591.4296261525053
149,393.1250318444156,585.0027671369014
150,433.6136857207026,598.5403199065717
151,434.48928084480383,630.4289280526226
152,455.9754310573664,630.0105375504332
153,486.0948045782763,615.155543296557
154,487.60538224311495,616.2134148576467
155,507.3719280465993,580.4349586522443
156,515.9124479195267,593.4247152378995
157,479.03794600112957,573.132721714831
158,511.9999977142857,630.9999971830357
159,0.0,0.0
160,0.0,0.0
161,457.99999797345134,581.9999974247788
162,0.0,0.0
163,491.11330581769914,603.3514720076961
164,0.0,0.0
165,511.15758886870776,569.5797021478613
166,529.8052858768235,578.4026426622003
167,515.8657569852907,565.9933861308471
168,0.0,0.0
169,547.8649788623981,576.1887630042054
170,569.2201888091863,574.4176214420529
171,588.207909869659,547.8864850420175
172,586.8995889607112,564.500267899857
173,0.0,0.0
174,589.0486340447058,560.0125432427847
175,0.0,0.0
176,569.8141771714975,528.8306947496003
177,0.0,0.0
178,599.8374031566569,543.7962080063731
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,464.99205628199826,582.0079432559542
188,492.6240847391567,564.909223804938
189,0.0,0.0
190,497.31049755767884,537.0912292050566
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,443.72298837824053,576.3764366159838
199,0.0,0.0
200,0.0,0.0
201,422.7597367613759,530.7541727209134
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,420.9164433795082,561.6108729079779
206,0.0,0.0
207,442.2079731077012,576.6066313280085
208,447.99999802643174,585.9999974185022
209,386.4913215043449,557.9866484926657
210,419.1228505839088,556.0393663900363
211,0.0,0.0
212,437.4109904323687,525.8838604188677
213,416.9931946281676,498.0054819474469
214,394.26645424780617,502.0636941342719
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,357.34405544427403,513.6531461347508
221,321.0717890081918,509.6214988001991
222,0.0,0.0
223,0.0,0.0
224,390.37947771998194,522.3864600721353
225,378.99999837339055,554.9999976180258
226,412.4979955786593,528.5020034784549
227,0.0,0.0
228,0.0,0.0
229,446.47833908154126,553.5258721097919
230,401.59286261022476,565.1930246835417
231,386.5179934368532,562.0371812555416
232,376.8817715265306,526.0248967517813
233,0.0,0.0
234,340.0992283922394,529.4446437709094
235,321.4371880628403,543.6598636990205
236,337.30313419134313,550.5625338055368
237,352.921128529131,553.2540343536118
238,381.85319973490783,544.1610461275279
239,373.65962641759455,572.4544240612595
240,393.89366378530633,557.1422890993027
241,409.5043469358601,540.9999988239131
242,424.79180310459355,557.5204915747867
243,447.4485868575279,529.049984927161
244,444.35258543982303,525.3431102892558
245,0.0,0.0
246,445.5691201495718,554.8072621925038
247,454.48702041086705,556.243893057949
248,0.0,0.0
249,468.9062797340208,562.5442884905362
250,481.728809646299,556.5024356377728
251,501.77640365699307,547.255538100332
252,0.0,0.0
253,523.4018690824471,528.4326809976003
254,515.5237096859101,545.8422189844222
255,552.4679586952212,543.6296489359822
256,548.4544243488117,562.4294389983256
257,552.4966219346,551.8981060414334
258,565.6770762240276,547.5059798845496
259,583.0907065814206,525.0080312799481
260,587.6092978290029,511.0255166465231
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,548.5561193006456,509.1170713411723
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,466.81381167528457,513.9056645195428
278,0.0,0.0
279,0.0,0.0
280,445.8509792361432,524.4732661396313
281,447.62074293123703,496.9587819827421
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,420.9999981121076,474.99999786995517
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,374.49999962920793,480.5019797222753
293,0.0,0.0
294,420.9999991099366,484.47991440913336
295,412.47064132650513,499.5569105126968
296,440.03743268445197,502.53903689568017
297,0.0,0.0
298,423.1059952225552,502.2374956931973
299,422.50630163339014,499.99999894957983
300,378.6088816201521,467.75981108472115
301,357.9999992782258,461.50403132761284
302,350.8207559555625,472.3022997973899
303,364.2669118960044,506.3003797167932
